x	 y	 w	 h

422 	131 	60 	64 
422 	131 	60 	64 
422 	131 	60 	64 
422 	131 	60 	64 
422 	131 	60 	64 
422 	131 	60 	64 
422 	131 	60 	64 
422 	131 	60 	64 
422 	132 	60 	64 
422 	132 	60 	64 
423 	133 	60 	64 
423 	134 	60 	64 
423 	134 	60 	64 
423 	134 	60 	64 
421 	136 	60 	64 
420 	138 	60 	64 
418 	140 	60 	64 
417 	141 	60 	64 
415 	141 	60 	64 
412 	142 	60 	64 
409 	143 	60 	64 
406 	144 	61 	65 
402 	145 	61 	65 
398 	147 	61 	65 
393 	150 	61 	65 
387 	152 	61 	65 
381 	153 	62 	66 
376 	154 	62 	66 
370 	155 	62 	66 
363 	155 	62 	66 
357 	156 	62 	67 
351 	156 	63 	67 
344 	156 	63 	67 
338 	157 	63 	67 
331 	158 	63 	67 
324 	158 	63 	67 
318 	159 	63 	68 
312 	160 	63 	68 
305 	161 	63 	67 
299 	161 	63 	67 
292 	162 	63 	68 
286 	161 	63 	67 
279 	162 	63 	67 
272 	163 	63 	67 
266 	164 	63 	67 
259 	166 	63 	67 
252 	167 	63 	67 
245 	169 	63 	67 
238 	170 	63 	67 
231 	172 	63 	67 
225 	173 	63 	68 
220 	174 	63 	68 
215 	174 	63 	68 
210 	175 	63 	67 
204 	176 	63 	67 
198 	176 	63 	67 
193 	175 	63 	67 
188 	175 	63 	67 
183 	175 	63 	67 
177 	175 	63 	67 
171 	175 	63 	67 
164 	176 	63 	67 
158 	178 	63 	67 
152 	179 	63 	67 
146 	181 	63 	67 
141 	183 	63 	67 
136 	184 	63 	67 
131 	185 	63 	67 
126 	185 	63 	67 
121 	184 	62 	67 
117 	182 	62 	67 
113 	179 	63 	67 
110 	175 	62 	66 
106 	171 	63 	67 
103 	166 	62 	67 
101 	161 	62 	67 
99 	155 	62 	66 
96 	150 	62 	66 
95 	144 	61 	66 
94 	138 	62 	66 
93 	133 	62 	66 
93 	128 	61 	66 
94 	123 	62 	66 
96 	119 	62 	66 
98 	113 	62 	66 
100 	108 	62 	66 
102 	102 	62 	66 
104 	96 	62 	66 
107 	90 	62 	66 
111 	84 	62 	66 
115 	78 	62 	66 
118 	72 	62 	66 
122 	66 	63 	67 
127 	61 	63 	67 
134 	57 	63 	67 
140 	52 	63 	67 
147 	48 	63 	67 
154 	44 	64 	68 
161 	40 	64 	68 
167 	37 	64 	68 
173 	34 	64 	68 
180 	31 	64 	68 
186 	28 	64 	68 
193 	25 	64 	68 
199 	24 	64 	68 
206 	22 	64 	68 
213 	21 	64 	68 
221 	21 	65 	69 
229 	21 	65 	69 
237 	21 	65 	69 
246 	21 	65 	69 
254 	21 	65 	69 
262 	21 	65 	69 
270 	22 	65 	69 
277 	23 	65 	69 
284 	26 	65 	69 
290 	29 	65 	69 
296 	33 	65 	70 
302 	37 	65 	70 
307 	39 	66 	70 
312 	41 	66 	70 
315 	43 	66 	70 
319 	45 	66 	70 
322 	46 	66 	70 
326 	47 	66 	70 
331 	47 	66 	70 
335 	48 	66 	70 
341 	49 	66 	70 
346 	50 	65 	70 
351 	51 	65 	70 
356 	51 	65 	70 
361 	52 	65 	69 
365 	54 	65 	69 
369 	56 	65 	69 
374 	59 	65 	69 
378 	61 	65 	69 
381 	63 	65 	69 
386 	65 	65 	69 
391 	67 	65 	69 
396 	70 	65 	69 
401 	72 	65 	70 
406 	75 	65 	70 
412 	77 	65 	70 
417 	79 	65 	70 
422 	81 	66 	70 
427 	84 	66 	70 
431 	87 	66 	70 
435 	90 	66 	70 
438 	93 	66 	70 
441 	97 	66 	70 
444 	101 	66 	70 
446 	107 	66 	70 
447 	112 	66 	70 
447 	118 	66 	70 
447 	124 	66 	70 
447 	129 	66 	70 
447 	136 	66 	70 
448 	141 	66 	70 
450 	146 	66 	71 
453 	150 	66 	71 
