x	y	w	h	
512	120	80	102	
513	111	80	102	
512	107	80	102	
512	107	80	102	
511	106	80	102	
510	108	80	102	
509	108	80	102	
509	109	80	102	
507	107	80	102	
505	107	80	102	
504	107	80	102	
503	108	80	102	
501	108	80	102	
502	109	80	102	
500	112	80	102	
498	110	80	102	
497	110	80	102	
496	111	80	102	
494	110	80	102	
493	110	80	102	
493	111	80	102	
492	114	80	102	
491	112	80	102	
492	112	80	102	
489	110	80	102	
490	113	80	102	
488	116	80	102	
487	110	80	102	
486	111	80	102	
483	109	80	102	
482	110	80	102	
481	112	80	102	
476	110	80	102	
475	111	80	102	
473	111	80	102	
470	110	80	102	
469	115	80	102	
467	114	80	102	
461	113	80	102	
461	114	80	102	
461	119	80	102	
460	120	80	102	
458	122	80	102	
456	120	80	102	
446	124	80	102	
443	120	80	102	
443	115	80	102	
439	117	80	102	
439	117	80	102	
438	118	80	102	
434	116	80	102	
431	115	80	102	
429	116	80	102	
424	116	80	102	
424	116	80	102	
424	119	80	102	
422	121	80	102	
437	148	80	102	
433	156	80	102	
428	157	80	102	
425	154	80	102	
423	158	80	102	
418	161	80	102	
416	163	80	102	
413	160	80	102	
412	160	80	102	
409	157	80	102	
407	160	80	102	
405	164	80	102	
402	159	80	102	
396	156	80	102	
394	155	80	102	
390	155	80	102	
386	155	80	102	
383	155	80	102	
378	155	80	102	
374	155	80	102	
372	151	80	102	
367	156	80	102	
366	156	80	102	
362	154	80	102	
354	150	80	102	
351	152	80	102	
343	149	80	102	
345	154	80	102	
339	152	80	102	
331	154	80	102	
326	154	80	102	
318	154	80	102	
314	152	80	102	
305	155	80	102	
300	156	80	102	
298	156	80	102	
293	154	80	102	
287	159	80	102	
282	160	80	102	
264	155	80	102	
256	155	80	102	
252	154	80	102	
245	155	80	102	
237	149	80	102	
232	147	80	102	
227	145	80	102	
227	135	80	102	
226	126	80	102	
230	116	80	102	
224	115	80	102	
232	105	80	102	
229	102	80	102	
225	100	80	102	
224	98	80	102	
225	91	80	102	
233	87	80	102	
231	88	80	102	
213	93	80	102	
203	95	80	102	
196	97	80	102	
191	99	80	102	
188	101	80	102	
188	107	80	102	
183	105	80	102	
180	104	80	102	
178	103	80	102	
175	104	80	102	
168	102	80	102	
160	103	80	102	
160	101	80	102	
158	103	80	102	
155	104	80	102	
150	103	80	102	
144	108	80	102	
141	102	80	102	
140	107	80	102	
139	111	80	102	
127	92	80	102	
130	98	80	102	
130	98	80	102	
124	96	80	102	
121	88	80	102	
116	82	80	102	
118	86	80	102	
114	81	80	102	
114	83	80	102	
113	85	80	102	
111	92	80	102	
110	96	80	102	
111	93	80	102	
112	98	80	102	
110	105	80	102	
114	109	80	102	
116	116	80	102	
115	121	80	102	
116	128	80	102	
119	137	80	102	
120	143	80	102	
124	153	80	102	
126	159	80	102	
126	164	80	102	
129	166	80	102	
134	174	80	102	
134	185	80	102	
134	186	80	102	
134	194	80	102	
134	199	80	102	
134	205	80	102	
138	220	80	102	
130	233	80	102	
131	246	80	102	
135	257	80	102	
142	261	80	102	
146	265	80	102	
158	266	80	102	
154	271	80	102	
160	274	80	102	
163	274	80	102	
167	278	80	102	
167	283	80	102	
167	285	80	102	
171	290	80	102	
175	290	80	102	
178	291	80	102	
181	290	80	102	
185	290	80	102	
193	292	80	102	
201	293	80	102	
211	288	80	102	
222	286	80	102	
225	276	80	102	
213	268	80	102	
222	269	80	102	
225	270	80	102	
230	269	80	102	
235	269	80	102	
245	271	80	102	
250	270	80	102	
253	273	80	102	
253	279	80	102	
254	282	80	102	
251	288	80	102	
266	281	80	102	
275	278	80	102	
276	278	80	102	
291	269	80	102	
291	269	80	102	
303	264	80	102	
312	258	80	102	
320	252	80	102	
327	245	80	102	
335	245	80	102	
337	241	80	102	
343	237	80	102	
347	236	80	102	
354	235	80	102	
357	232	80	102	
362	228	80	102	
366	222	80	102	
369	219	80	102	
373	214	80	102	
375	209	80	102	
377	202	80	102	
380	198	80	102	
379	194	80	102	
380	187	80	102	
381	181	80	102	
400	194	80	102	
379	169	80	102	
380	164	80	102	
384	160	80	102	
383	157	80	102	
384	151	80	102	
409	154	80	102	
417	153	80	102	
421	147	80	102	
424	141	80	102	
424	134	80	102	
431	131	80	102	
436	126	80	102	
438	117	80	102	
441	110	80	102	
445	102	80	102	
450	96	80	102	
455	97	80	102	
473	94	80	102	
472	84	80	102	
472	81	80	102	
474	73	80	102	
472	67	80	102	
471	67	80	102	
473	61	80	102	
472	60	80	102	
473	54	80	102	
477	59	80	102	
477	59	80	102	
479	54	80	102	
481	56	80	102	
485	58	80	102	
485	60	80	102	
487	67	80	102	
488	67	80	102	
490	67	80	102	
492	75	80	102	
494	73	80	102	
496	75	80	102	
496	75	80	102	
496	69	80	102	
499	70	80	102	
499	70	80	102	
501	72	80	102	
501	73	80	102	
500	74	80	102	
501	76	80	102	
501	78	80	102	
502	87	80	102	
500	89	80	102	
500	89	80	102	
499	86	80	102	
499	89	80	102	
497	89	80	102	
496	91	80	102	
495	95	80	102	
494	99	80	102	
493	94	80	102	
490	94	80	102	
490	96	80	102	
488	97	80	102	
491	104	80	102	
497	126	80	102	
497	132	80	102	
492	133	80	102	
486	138	80	102	
479	140	80	102	
474	141	80	102	
466	137	80	102	
461	143	80	102	
454	137	80	102	
449	136	80	102	
446	133	80	102	
441	132	80	102	
437	132	80	102	
432	131	80	102	
426	130	80	102	
420	130	80	102	
415	131	80	102	
407	131	80	102	
401	131	80	102	
394	132	80	102	
385	132	80	102	
376	132	80	102	
378	137	80	102	
359	135	80	102	
359	130	80	102	
341	132	80	102	
332	134	80	102	
321	136	80	102	
320	137	80	102	
307	141	80	102	
285	136	80	102	
